TRADE_DATE,20210409,STI, ,SPDR STRAITS TIMES INDEX ETF,'STI,'STI,SGD,INSTRUCTION_ASSET,XTTF
CREATION_UNIT_SIZE,500000,DOMICILE,"",ESTIMATED_DIVIDENDS,,PRODUCT_STRUCTURE,"",EST_INC,0
SETTLEMENT_CYCLE,T+2,ASSET_CLASS,"",ESTIMATED_EXPENSE,,CREATE_FEE,1740,ESTIMATED_CASH_COMPONENT,7043.46
NAV,3.193118,UNDISTRIBUTED_NET_INCOME_PER_SHARE,.014029,BASKET_MARKET_VALUE,1589515.54,REDEEM_FEE,1740,ACTUAL_CASH_COMPONENT,7052.44
NAV_PER_CREATION_UNIT,1596559,UNDISTRIBUTED_NET_INCOME_PER_CREATION_UNIT,7014.5,BASKET_SHARES,330065,CREATE_VARIABLE_FEE,0
NAV_LESS_UNDISTRIBUTED_NET_INCOME,1589544.5,ACTUAL_CASH_IN_LIEU,0,ESTIMATED_CASH_IN_LIEU,0,REDEEM_VARIABLE_FEE,0
ETF_SHARES_OUTSTANDING,541900000,ACTUAL_INTEREST,0,ESTIMATED_INTEREST,0,EXPENSE_RATIO,0
TOTAL_NET_ASSETS,1730350500.12,ACTUAL_TOTAL_CASH,7052.44,ESTIMATED_TOTAL_CASH,7043.46,THRESHOLD, 
CUSIP,TICKER,SEDOL,ISIN,DESCRIPTION,CUR,ISO,SHARES,ORIGINAL_FACE,INTEREST,LOCAL_PRICE,LOCAL_MV,FOREX,BASE_PRICE,BASE_MV,WEIGHT,CIL,EST_DIVIDEND,LOT,NEW,SHARE_CHANGE,INT_FACTOR,PAR_ADJUSTMENT_FACTOR
'604321901,'STE,'6043214,SG1F60858221,SINGAPORETECH ENGINEERING,SGD,SG,7893,,0,3.9,30782.7,1,3.9,30782.7,1.93660894,N,0,1,N,0,0,1
'617520903,'DBS,'6175203,SG1L01001701,DBS GROUPHOLDINGS LTD,SGD,SG,9242,,0,28.7,265245.4,1,28.7,265245.4,16.68718508,N,0,1,N,0,0,1
'618027908,'DFI,'6180274,BMG2624N1535,DAIRY FARMINTL HLDGS LTD,USD,SG,1555,,0,4.32,6717.6,.74599,5.790962,9004.95,.56652167,N,0,1,N,0,0,1
'619792005,'CIT,'6197928,SG1R89002252,CITY DEVELOPMENTS LTD,SGD,SG,2423,,0,8.15,19747.45,1,8.15,19747.45,1.24235652,N,0,1,N,0,0,1
'624226007,'JCNC,'6242260,SG1B51001017,JARDINE CYCLE + CARRIAGE LTD,SGD,SG,512,,0,23.41,11985.92,1,23.41,11985.92,.7540612,N,0,1,N,0,0,1
'624358909,'SATS,'6243586,SG1I52882764,SATS LTD,SGD,SG,3282,,0,4.36,14309.52,1,4.36,14309.52,.90024411,N,0,1,N,0,0,1
'630386902,'SGX,'6303866,SG1J26887955,SINGAPOREEXCHANGE LTD,SGD,SG,4249,,0,10.03,42617.47,1,10.03,42617.47,2.68116095,N,0,1,N,0,0,1
'630930907,'CAPL,'6309303,SG1J27887962,CAPITALANDLTD,SGD,SG,13313,,0,3.78,50323.14,1,3.78,50323.14,3.165942,N,0,1,N,0,0,1
'642012900,'CICT,'6420129,SG1M51904654,CAPITALANDINTEGRATED COMMER,SGD,SG,22567,,0,2.21,49873.07,1,2.21,49873.07,3.13762708,N,0,1,N,0,0,1
'643491905,'HKL,'6434915,BMG4587L1090,HONGKONG LAND HOLDINGS LTD,USD,SG,5997,,0,4.95,29685.15,.74599,6.635478,39792.96,2.50346467,N,0,1,N,0,0,1
